coefs,Estimate,Std. Error,t value,Pr(>|t|),abs_estimate
"[36] ""E3902_義務教育学校前期課程学級数""                ",-0.003667,0.006821604,-0.537556793,0.590946217,0.003667
"[73] ""J2906_婦人保護施設数（基本票）"" ",0.00346147,0.006821661,0.507423289,0.611916926,0.00346147
"[72] ""J2905_障害者支援施設等数（基本票）""              ",-0.003432202,0.006821669,-0.50313236,0.61492972,0.003432202
"[27] ""E1101_幼稚園数""                                  ",0.003217759,0.006821724,0.471692907,0.637200333,0.003217759
"[10] ""A210102_住民基本台帳人口（日本人）（女）""        ",-0.00309243,0.006821755,-0.453318796,0.650371129,0.00309243
"[49] ""I510120_一般病院数""                              ",-0.002431455,0.006821896,-0.35641927,0.7215663,0.002431455
"[35] ""E3901_義務教育学校数""                            ",-0.000807509,0.0068221,-0.118366669,0.905789686,0.000807509
"[37] ""E3903_義務教育学校後期課程学級数""                ",0.000801618,0.0068221,0.117503065,0.906473874,0.000801618
"[58] ""J2221_保護施設数（基本票）（医療保護施設を除く）""",0.000461564,0.006822116,0.067657007,0.946065815,0.000461564
"[40] ""E3906_義務教育学校後期課程生徒数""                ",-0.000424492,0.006822118,-0.062222896,0.950391895,0.000424492
"[39] ""E3905_義務教育学校前期課程児童数""                ",-0.000392983,0.006822119,-0.057604293,0.954069906,0.000392983
"[47] ""I5101_病院数""                                    ",-0.000345756,0.00682212,-0.050681649,0.959584544,0.000345756
"[38] ""E3904_義務教育学校教員数""                        ",-0.000297325,0.006822121,-0.043582546,0.965241758,0.000297325
"[42] ""E4501_高等学校生徒数""                            ",0.000173693,0.006822124,0.025460255,0.979690532,0.000173693
